Total_n,Quantile,Threshold,n_exceedances,mean,std,skewness,kurtosis,L1,L2,tau3_Lskewness,tau4_Lkurtosis,GPD_shape_Lmoment,GPD_scale_Lmoment,GPD_shape_MLE,GPD_scale_MLE,AD_stat_Lmoment,Bootstrap_pval_Lmoment,AD_stat_MLE,Bootstrap_pval_MLE,LogL_Lmoment,LogL_MLE,AIC_Lmoment,BIC_Lmoment,AIC_MLE,BIC_MLE,Ticker,Sector,Name
5069,0.0,0.0,5069,0.0223547839988196,0.020030717285698427,2.5463728527518263,14.064461070480096,0.0223547839988196,0.009733880665331453,0.29730572600704885,0.20328225319761029,-0.08331330064465173,0.02196821040770804,-0.06345135640655075,0.023735596569582934,120.46334129173192,0.0,87.2761282391757,0.0,14177.952641729831,14214.749689422411,-28351.905283459662,-28338.843485782716,-28425.499378844823,-28412.437581167876,004020.KS,Steels & Materials,Hyundai Steel
5069,0.5,0.017804575175524678,2534,0.01783617050106635,0.020584598093393938,2.8766675840623344,14.790130786184601,0.01783617050106635,0.009432013760077221,0.3947167774273606,0.22776824080962046,0.13203421315527467,0.015292410585629168,0.12162873445825743,0.01566094575818733,1.4844129434341085,0.178,0.9032929855402472,0.418,7690.509170630589,7690.840805464688,-15377.018341261179,-15365.343232539417,-15377.681610929376,-15366.006502207614,004020.KS,Steels & Materials,Hyundai Steel
5069,0.55,0.01958241219744333,2281,0.017936565273382894,0.02086522832462423,2.857210960610644,14.438432197045278,0.017936565273382894,0.009549566017164801,0.39726231942058066,0.2304627819752373,0.13725909272445888,0.015346752114796912,0.13108310498764625,0.01558181531070182,0.9254945187749399,0.41,0.689984768938757,0.562,6912.7316619574585,6912.852516577952,-13821.463323914917,-13809.998585470348,-13821.705033155904,-13810.240294711335,004020.KS,Steels & Materials,Hyundai Steel
5069,0.6,0.021530108818356927,2028,0.018105696867221837,0.021194966691185087,2.829618493411286,14.010434882559098,0.018105696867221837,0.009694113269935158,0.39922963566478525,0.23455380141529986,0.14128410516436218,0.015472860301778772,0.1393752204230978,0.015580972442397294,0.7701012198276658,0.508,0.709645099998852,0.55,6129.179086222237,6129.204652898041,-12254.358172444474,-12243.128561715052,-12254.409305796082,-12243.17969506666,004020.KS,Steels & Materials,Hyundai Steel
5069,0.65,0.023470292195872225,1774,0.018620790801133946,0.021572364241848177,2.7971834077568363,13.515806380677944,0.018620790801133946,0.009854514490354405,0.4033652489159678,0.23963467460409196,0.14970852877409663,0.015503980103309067,0.12704450711551293,0.016249646753736965,2.5361171863507934,0.034,1.2606509632032612,0.21,5308.1753694039835,5309.070892365039,-10612.350738807967,-10601.388754482228,-10614.141784730078,-10603.17980040434,004020.KS,Steels & Materials,Hyundai Steel
5069,0.7,0.02618115149535598,1521,0.018779789066766365,0.022021141805944795,2.7543100260497986,12.916322581734251,0.01877978906676637,0.010045353590849035,0.4102628251447862,0.2440304249193385,0.1636492654556532,0.0154279884116249,0.14250055915851828,0.01610344140473101,1.7584678245766554,0.134,0.9290064414853987,0.42,4541.405697087158,4542.026904240699,-9078.811394174316,-9068.157147589798,-9080.053808481398,-9069.39956189688,004020.KS,Steels & Materials,Hyundai Steel
5069,0.75,0.029345790729727254,1267,0.01906923620227097,0.022595058587005983,2.6883213871043936,12.135807321362833,0.01906923620227097,0.010307682988982875,0.41816540508805494,0.24742608709440966,0.17945453636867056,0.015398032470360402,0.15856866568953396,0.01605676461438119,1.3872181393378469,0.212,0.8110222174468618,0.488,3766.359215029734,3766.840573800119,-7528.718430059468,-7518.429615698826,-7529.681147600238,-7519.392333239595,004020.KS,Steels & Materials,Hyundai Steel
5069,0.8,0.03295278215056436,1014,0.01975717345292413,0.023350492820507426,2.5866274462326495,11.111993747337962,0.01975717345292413,0.010685266727360447,0.42646267758436784,0.24785636855334447,0.19586073799437292,0.015501962871628985,0.16115263680128294,0.016592136867363067,2.4219597026032034,0.036,1.3352564536659202,0.222,2977.8230013565335,2978.8277416547962,-5951.646002713067,-5941.802686344765,-5953.6554833095925,-5943.81216694129,004020.KS,Steels & Materials,Hyundai Steel
5069,0.85,0.03849198627961685,761,0.019905428105879187,0.02441373596390853,2.4214106371252,9.721355208094161,0.019905428105879187,0.011287524090230334,0.43290786524735075,0.2335947981819546,0.20847369393878376,0.016006162909928293,0.23697619152437058,0.015333480385052847,0.9061261895435564,0.392,0.47642521361740364,0.794,2237.643727358707,2237.919525272998,-4471.287454717414,-4462.018188001691,-4471.839050545996,-4462.569783830272,004020.KS,Steels & Materials,Hyundai Steel
5069,0.9,0.04463704402005927,507,0.022287867449591506,0.025985079404310406,2.1396529737010987,7.805057692565422,0.022287867449591506,0.012368154209014066,0.4107465376382278,0.22077867538815735,0.16462178479167683,0.018963286642266125,0.1893914373095278,0.018174807255770795,0.7506346252384333,0.498,0.4349495511973487,0.818,1428.6807648970957,1428.8562488858618,-2853.3615297941915,-2844.904507787009,-2853.7124977717235,-2845.255475764541,004020.KS,Steels & Materials,Hyundai Steel
5069,0.95,0.05815981049207203,254,0.02538505756096958,0.027912976119044093,1.6948073352786077,5.244627135960706,0.025385057560969582,0.013853736700855674,0.3970142867102795,0.1815107582105844,0.13675082778194808,0.022283019322071544,0.14392849983307757,0.021829975308192993,0.7471919420291613,0.52,0.6607622595715554,0.64,680.8254737092375,680.848395651479,-1357.650947418475,-1350.576278884438,-1357.696791302958,-1350.622122768921,004020.KS,Steels & Materials,Hyundai Steel
